#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
33,Chase Dickens,,,,"Defense, Foul",Non Shooting Foul,00:00:11.5,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,15:05,Chase Dickens,11 Chase Dickens > Non Possession > Non Shooting Foul,
34,Josiah Turner,,,,"Offense, Defense, Iso, 2FGm, Def Reb",Miss 2 Pts,00:00:27.2,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,14:48,Josiah Turner,33 Josiah Turner > ISO > Top > Drives Left > To Basket > Miss 2 Pts,
35,Evan Cabral,,,,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,00:00:16.7,,,Ithaca College,IC@RIT,01/16/2024,1,14:39,Evan Cabral,15 Evan Cabral > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
36,Brock Bowen,,,,"Offense, P&R BH, Cut, 2FGM, Assist",Make 2 Pts,00:00:16.4,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,14:25,Josiah Turner,10 Brock Bowen > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Josiah Turner > Cut > Basket > Make 2 Pts,
37,Alex Penders,,,,"Offense, Spot Up, 3FGm",Miss 3 Pts,00:00:15.7,,,Ithaca College,IC@RIT,01/16/2024,1,14:14,Alex Penders,14 Alex Penders > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
38,Aidan Holmes,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:08.7,,,Ithaca College,IC@RIT,01/16/2024,1,14:14,Aidan Holmes,3 Aidan Holmes > Offensive Rebound > Short > Run Offense,
39,Evan Cabral,,,,"Offense, Defense, P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:16.8,,,Ithaca College,IC@RIT,01/16/2024,1,14:05,Aidan Holmes,15 Evan Cabral > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Aidan Holmes > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
40,Chase Dickens,,,,"Offense, Transition, 2FGM, Assist",Make 2 Pts,00:00:10.1,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,13:58,Chase Dickens,11 Chase Dickens > Transition > Leak Outs > To Basket > Make 2 Pts,
41,Evan Cabral,,,,"Offense, P&R BH, P&R Roll Man, 3FGM, Assist",Make 3 Pts,00:00:27.9,,,Ithaca College,IC@RIT,01/16/2024,1,13:58,Cole Wissink,15 Evan Cabral > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Cole Wissink > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
42,Chase Dickens,,,,"Offense, Spot Up, 3FGm",Miss 3 Pts,00:00:29.9,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,12:56,Chase Dickens,11 Chase Dickens > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
