#,Title,Synergy Tags,Result,Team,Pd.,Clock,Player,Synergy String
60,Ronnie Toole,"Offense, P&R BH, 3FGm",Miss 3 Pts,Rochester Institute of Technology Tigers,1,8:11,Ronnie Toole,15 Ronnie Toole > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
61,Brandon Weiss,"Offense, Off Reb, Off Reb",Run Offense,Rochester Institute of Technology Tigers,1,8:11,Brandon Weiss,4 Brandon Weiss > Offensive Rebound > Long > Run Offense
62,Zac Ditzel,,No Violation,Rochester Institute of Technology Tigers,,,Zac Ditzel,20 Zac Ditzel > Non Possession > No Violation
63,Ronnie Toole,"Defense, Foul",Non Shooting Foul,Rochester Institute of Technology Tigers,1,7:55,Ronnie Toole,15 Ronnie Toole > Non Possession > Non Shooting Foul
64,Zac Ditzel,"Offense, Defense, Post Up, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,1,7:48,Zac Ditzel,20 Zac Ditzel > Post-Up > Left Block > Left Shoulder > Dribble Move > To Jumper > Miss 2 Pts
65,Tyler Cardello,"Offense, Transition, 2FGM",Make 2 Pts,Elmira,1,7:38,Tyler Cardello,30 Tyler Cardello > Transition > Right Wing > To Basket > Make 2 Pts
66,Brandon Weiss,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,1,7:21,Brandon Weiss,4 Brandon Weiss > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
67,Tyler Cardello,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Elmira,1,7:03,Tyler Cardello,30 Tyler Cardello > Cut > Basket > Make 2 Pts
68,Jackson Otis,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,1,6:50,Jackson Otis,25 Jackson Otis > Cut > Flash > Make 2 Pts
69,Riley Spencer,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Elmira,1,6:42,Riley Spencer,14 Riley Spencer > Transition > Left Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts
70,Kenny Wilburn,"Offense, Defense, Transition, Foul",Foul,Rochester Institute of Technology Tigers,1,6:34,Kenny Wilburn,3 Kenny Wilburn > Transition > Trailer > To Basket > Foul
71,Kenny Wilburn,"Offense, FTm",Free Throw,Rochester Institute of Technology Tigers,1,6:34,Kenny Wilburn,3 Kenny Wilburn > Non Possession > Free Throw
72,Kenny Wilburn,"Offense, Defense, FTm, Def Reb",Free Throw,Rochester Institute of Technology Tigers,1,6:33,Kenny Wilburn,3 Kenny Wilburn > Non Possession > Free Throw
73,Riley Spencer,"Offense, Defense, P&R BH, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Elmira,1,6:08,Dylan Jacob,14 Riley Spencer > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Dylan Jacob > Spot-Up > Drives Right > To Basket > Miss 2 Pts
74,Brandon Weiss,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,1,6:00,Brandon Weiss,4 Brandon Weiss > Transition > Ballhandler > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
75,Riley Spencer,"Offense, Defense, Iso, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Elmira,1,5:45,Dylan Jacob,14 Riley Spencer > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 1 Dylan Jacob > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
76,Zac Ditzel,"Offense, Transition Turnover, Turnover",Turnover,Rochester Institute of Technology Tigers,1,5:38,Zac Ditzel,20 Zac Ditzel > Transition > Right Wing > No Dribble Jumper > Turnover
77,Riley Spencer,"Offense, Defense, Cut, 2FGm, Block, Blocked Attempt",Miss 2 Pts,Elmira,1,5:24,Riley Spencer,14 Riley Spencer > Cut > Screen > Miss 2 Pts
78,Jackson Otis,"Defense, Foul",Non Shooting Foul,Rochester Institute of Technology Tigers,1,5:03,Jackson Otis,25 Jackson Otis > Non Possession > Non Shooting Foul
79,Jackson Otis,"Offense, Cut, 2FGm",Miss 2 Pts,Rochester Institute of Technology Tigers,1,5:00,Jackson Otis,25 Jackson Otis > Cut > Basket > Miss 2 Pts
80,Brandon Weiss,"Offense, Off Reb, Off Reb",Run Offense,Rochester Institute of Technology Tigers,1,5:00,Brandon Weiss,4 Brandon Weiss > Offensive Rebound > Short > Run Offense
81,Brock Bowen,"Offense, Spot Up, 3FGM",Make 3 Pts,Rochester Institute of Technology Tigers,1,4:50,Brock Bowen,10 Brock Bowen > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Make 3 Pts
82,Riley Spencer,"Offense, Transition Turnover, Turnover",Turnover,Elmira,1,4:41,Riley Spencer,14 Riley Spencer > Transition > Right Wing > Turnover
83,Brock Bowen,"Offense, Off Screen, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,1,4:30,Brock Bowen,10 Brock Bowen > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Long/3pt > Make 3 Pts
84,Marc Anthony Artuz,"Offense, Defense, Handoff, 2FGm, Block, Blocked Attempt",Miss 2 Pts,Elmira,1,4:05,Marc Anthony Artuz,23 Marc Anthony Artuz > Hand Off > From Dribble > Right > To Basket > Miss 2 Pts
85,Carter Seeberger,"Offense, P&R BH, 2FGM",Make 2 Pts,Elmira,1,3:58,Carter Seeberger,10 Carter Seeberger > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
86,Kenny Wilburn,"Offense, Spot Up, 2FGM",Make 2 Pts,Rochester Institute of Technology Tigers,1,3:37,Kenny Wilburn,3 Kenny Wilburn > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Make 2 Pts
87,Carter Seeberger,,No Violation,Elmira,,,Carter Seeberger,10 Carter Seeberger > Non Possession > No Violation
88,Marc Anthony Artuz,"Offense, P&R BH, Spot Up, 3FGm",Miss 3 Pts,Elmira,1,3:08,Riley Spencer,23 Marc Anthony Artuz > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 14 Riley Spencer > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
89,Tyler Cardello,"Offense, Defense, Off Reb, Off Reb, Foul",Foul,Elmira,1,3:08,Tyler Cardello,30 Tyler Cardello > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
90,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,1,3:06,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
91,Tyler Cardello,"Offense, Defense, FTm, Def Reb",Free Throw,Elmira,1,3:05,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
92,Kenny Wilburn,"Offense, Post Up, 2FGm, Foul",Miss 2 Pts,Rochester Institute of Technology Tigers,1,2:45,Kenny Wilburn,3 Kenny Wilburn > Post-Up > Right Block > Face-up > Drive Middle > Miss 2 Pts
93,Tyler Cardello,"Defense, Foul",Non Shooting Foul,Elmira,1,2:30,Tyler Cardello,30 Tyler Cardello > Non Possession > Non Shooting Foul
94,Tyler Cardello,"Offense, Defense, Spot Up, 2FGM, Foul",0 Pts,Elmira,1,2:21,Tyler Cardello,30 Tyler Cardello > Spot-Up > Drives Right > To Basket > Make 2 Pts Foul > 0 Pts
95,Tyler Cardello,"Offense, FTm",Free Throw,Elmira,1,2:19,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
